,project_name,Department,"IPA Delivery Confidence Assessment
(A Delivery Confidence Assessment of the project at a fixed point in time, using a five-point scale, Red  Amber/Red  Amber  Amber/Green  Green; definitions in the IPA Annual Report on Major Projects)",Description / Aims,Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date
(Latest Approved Start Date)","Project - End Date
(Latest Approved End Date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)","2018/19 TOTAL Baseline Łm
(including Non-Government costs)","2018/19 TOTAL Forecast Łm
(including Non-Government costs)",2018/2019 Variance %age,"Whole Life Cost TOTAL Baseline Łm
(including Non-Government costs)","Departmental narrative on  budget/forecast variance for 2018/19
(if variance is more than 5%)",Departmental Narrative on Budgeted Whole Life Costs,Annual Report Category
97,Crowsnest Programme,MOD,Amber,Equips 10 Merlin Mk2 helicopters with an advanced airborne surveillance system to meet the requirement for early threat warning and co-ordination of aircraft.,Delivery Confidence remains Amber as ongoing schedule challenges means the programme requires constant management attention to deliver. ,31/03/2013,30/06/2023,"Programme management activity addressing schedule risk has been undertaken. It alters the route to the approved IOC (Initial Operating Capacity) milestone however, it does not alter the planned schedule deliverables or date. ",Ł104.86,Ł104.86,0%,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Budget variance less than 5%,"Following a HMRC ruling, VAT is now applicable to the whole programme. This was identified as a risk in the business case and accounted for within the approved cost envelope. Therefore, the programme remains within its Approved Budgetary Limit.",Military Capability
98,Defence Estate Optimisation ,MOD,Amber/Red,"The main aims of the programme are to:  Create a smaller, better estate delivering required Military Capability  Contribute to the defence target of a 30% reduction in the MOD Built Estate by 2040  Deliver Ł4.0bn of capital receipts  by 2040.  This will be achieved by disposing of 91 sites, this will in many cases involve working with TLBs and FLCs to optimise estate usage, move capabilities and re-provision infrastructure where necessary.  Contribute towards Public sector land release and the MOD target to release sufficient land to deliver 55,000 potential housing units in this Parliament.   Contribution to MOD running costs savings totalling over Ł4Bn by 2040.","The DEO Programme continues to report an Amber/Red IPA RAG status, however significant work is underway to ensure the successful delivery of the programme which has included;
 A full programme reprioritisation to address the programme affordability issues, moving to a disposal lead structure,  included as part of the February update to parliament  
 Enhancing the DEO governance model to further empower Senior Responsible Officers ",30/09/2016,31/03/2041,"Following MOD approval, delivery is on schedule to Baseline Version 8, any future changes are subject to robust change control. ",Ł201.05,Ł85.35,-58%,"Ł1,166.87","The variance has been caused by a change in scope, cost estimates and delivery plan.   The change has occurred due to a whole programme review (referred to reprioritisation) and a move towards a programme maturity point.   It is worth noting that although Q2 succeeds FY17/18 the baseline forecast was frozen, prior to Q2, whilst the programme underwent the change process.","Since Q2, the Programme has undertaken a reprioritisation exercise, in order to improve affordability and deliverability, and build on local authority engagement on future use of planned disposal sites.  This has led to the approach of delivery in waves of activity.  With the first wave being affordable, programmed and underway.",Military Capability
99,DREADNOUGHT,MOD,Amber,"The design, development and manufacture of 4 Dreadnought Class ballistic missile submarines.","The programme has continued to gather pace  in the first year of Delivery Phase 2, the design has matured substantially and build activity escalated significantly: Dreadnought outfitting continues to increase in the Central Yard Complex, the fabrication of units for HMS Valiant will start soon and delivery of components into the shipyard continues to escalate. The Dreadnought Alliance (Ministry of Defence's Submarine Delivery Agency, BAE Systems and Rolls-Royce)  stood up on 1 April 2018.  ",14/04/2011,"Exempt under Section 35 of the Freedom of Information Act 2000 (Formulation of government policy, etc.)","The priority remains to deliver the build schedule in order to ensure HMS Dreadnought will be on patrol in the early 2030s through the active identifiaction of risks and the prosecution of opportunities. 
","Ł1,505.63","Ł1,339.29",-11%,"Ł30,060.07","Reduction in forecast driven by accounting treatments, revised US costs and delayed Supply Chain commitments."," The whole life costs is for the acquisition of the submarines and associated additional infrastructure, beyond that currently in place for the Vanguard class, and the balance between the current in-service costs and those estimated to support the new boats.",Military Capability
100,Fleet Solid Support,MOD,Amber,"The FSS project will deliver the ships to provide the solid sustainment (food, stores and ammunition) required for Maritime Task Groups and Joint Forces to operate at the reach, tempo and for the duration required to poise and deliver effect.  FSS is a key enabler to achievement of Full Operating Capability for Carrier Enabled Power Projection (CEPP), provides highly mobile sovereign Access and Basing choices for Defence reducing the demand on the support chain and assuring the highly regulated and constrained movement of munitions.    SDSR15 directed the delivery of 3 Fleet Solid Support Ships as part of Joint Force 2025 (JF25).",Gateway review (Jun 18) provided an improved Amber/Green assessment.  Quarterly DMPP (Defence Major Project Portfolio) return continues to be assessed as Amber reflecting challenge in maintaining adequate staffing of the programme and project teams. Active prioritisation of key functions remains ongoing.,14/03/2016,30/04/2030,Assessment Phase remains on schedule with competition underway. Delivery schedule of the vessels will be confirmed at Prime Contract Award.,Ł1.97,Ł1.97,0%,Ł11.78,Budget variance less than 5%,Current finances represent the allocation against the Programme Assessment Phase. The future Design and Manufacture phase budget will be commercially sensitive until the competition phase concludes and Prime Contract has been awarded(currently scheduled in 2020).,Military Capability
101,Future Beyond Line Of Sight,MOD,Amber/Red,To maintain the current satellite communications network and develop successor capability.,The Aug 18 Cabinet Office Project Assessment Review (PAR) raised 8 recommendations; all were accepted and are being actively implemented and managed.  Two actions are Critical:  (1) To ensure there is no gap in specialist support during the transfer from the current interim support partner to the long term delivery partner. (2) To develop a robust realistic and resourced plan to deliver SKYNET 6A (first satellite) on time with appropriate project controls and governance. ,01/01/2011,31/12/2041,All key milestones remain within 50% confidence levels approved by the Internal APrrovals Comittee in Jun 16.  Main focus is the negotiation for the first satellite and establishing a contract for a new long-term Delivery Partner.  The current Interim Support Partner has been extremely effective in mitigating MODs lack of suitability qualified and experienced personnel and has alleviated some of the manpower shortage issues currently being borne due to constraints in recruiting Crown Servants and the lack of in-house SATCOM expertise.  There is no deviation expected against the current schedule. ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),ICT
102,Future Maritime Support Programme,MOD,Amber/Red,The FMSS Programme has been established as the follow-on contract for the provision of engineering support (including deep maintenance) of Complex Warships and Submarines and the provision of Naval Base Services  post the expiry of the Maritime Support Delivery Framework (MSDF) contract  Mar 20.,Exempt under Sections 35 and 43 of the Freedom of Information Act 2000 (Policy Development and Commercial Interests respectively),26/09/2016,27/09/2019,Exempt under Sections 35 and 43 of the Freedom of Information Act 2000 (Policy Development and Commercial Interests respectively),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Sections 35 and 43 of the Freedom of Information Act 2000 (Policy Development and Commercial Interests respectively),Exempt under Sections 35 and 43 of the Freedom of Information Act 2000 (Policy Development and Commercial Interests respectively),Military Capability
103,Joint Crypt Key Programme,MOD,Exempt under Section 26 of Freedom of Information Act 2000 (Defence),To support the Departments Information Assurance Capability,Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Military Capability
104,Land Environment Tactical Communication  and  Information Systems,MOD,Amber/Red,"The LE TacCIS Programme will sustain, evolve and where appropriate replace tactical communication and information systems used across the Land Environment. This includes man-portable systems, those mounted on platforms and those in deployed headquarters.","The MOD accepted the recommendations made in the IPA review of the LE TacCIS programme in Oct 17 and has worked to address them. Strong progress has been made as evidenced in the LE TacCIS review in Oct 18, with some work ongoing to close out the remaining recommendations ahead of a further IPA review of the programme in Oct 19.",01/05/2013,31/12/2035,"The MOD has identified LE TacCIS as one of the most important change programmes in the Land Environment and is investing accordingly. The Department will become significantly less reliant on large prime contractors and the 'lock-in' that can result. This new approach therefore represents the best value means of Defence retaining an operational advantage.  The funding in later years ensures that new capabilities will be evolutionarily developed so that information advantage is not lost.

The programme is executed to a robust risk adjusted schedule following ISS scheduling standards and closely managed between the Army HQ Programme Management Office and the BATCIS Project Support Office. The programme schedule performance risk is briefed at the appropriate governance boards and continually reviewed with risk of delay escalated where necessary. The programme schedule enables the correct activity to be initiated, managed and tracked across the DLoDs to ensure the evolutionarily capability LE TAcCIS will deliver can be effectively integrated into the Front Line Commands.
",Ł273.66,Ł251.70,-8%,"Ł11,142.64","Financial Year 2018/19 in-year variance of Ł21.9M underspend, is mostly due to competition efficiencies, retirement of risk and scheduling changes to a number of projects.","The MOD has identified LE TacCIS as one of the most important change programmes in the Land Environment and is investing accordingly. The Departments aim to become significantly less reliant on large prime contractors and the resultant 'lock-in' should represent the best value means of Defence retaining an operational advantage.  Furthermore, moving the LE TacCIS programme to smaller incremental capability changes will reduce financial risk and enable better management of Whole Life Costs.",Military Capability
105,Lightning Programme,MOD,Amber/Red,"The Lighting Programme will deliver a true multi-role, carrier-capable strike asset to be operated jointly by the RAF and RN, which will provide the UK with a survivable, sustainable, expeditionary, 5th Generation air capability to contribute to the widest possible range of operations.","Significant effort has been undertaken with the UK based Lighting Delivery Team and across the wider F-35 enterprise in order to address the key areas of concern in the run up to declaring an Initial Operating Capability (IOC). The UK took delivery of its 16th Lightning aircraft in September, 9 aircraft are now based at RAF Marham and we have commissioned our Integrated Training Centre (ITC). Further progress has been made in the commissioning and testing of the Autonomic Logistics Information System (ALIS) at RAF Marham. The recent opening of the ITC and use of Full Mission Simulators for Pilot training is a welcome achievement. Challenges around delivery of required UK weapons clearance and operational test data to provide evidential requirements to support the acceptance case for IOC (Initial Operating Capacity) have been mitigated and have now met overall requirements to support IOC .  As per past reports pressure due to lack of personnel within the Lightning Delivery Team remain extant although work continues to address through recruitment and re-organisation.  Substantial progress has been made and the expectation is that we are moving towards an AMBER status for the next reporting period.",01/10/2001,31/03/2035,Despite challenges the Lightning Programme remains on schedule to meet all major Programme Milestones.,Ł803.33,Ł786.50,-2%,"Ł10,475.19",Budget variance less than 5%,"The forecast whole life costs continue to deliver the following:
a. Production of main phase of approved a/c buy due to be completed in 2024 (Includes Aircraft and Equipment procurement).    
b. Through life capability development and obsolescence management.   
c. Delivery of unique sovereignty capabilities.   
d. UK contribution to production, sustainment & follow-on development.
e. UK development & integration (including Ship, Weapons and Main Operating Base).
f. UK participation in Initial Operational Test & Evaluation
g. Through-life programme sustainment 
h. Defence Infrastructure Organisation Infrastructure.",Military Capability
106,Maritime Patrol Aircraft ,MOD,Amber/Red,"To deliver a Maritime Patrol Aircraft (MPA) to provide persistent, responsive, effective and adaptive Military Capabilities in the Under Water, Above Water, Littoral and Land environments.  ","Gateway Review (Amber/Red) due to the number of dependencies and uncertainty, mainly information and infrastructure. Infrastructure recommendations and findings continue to be addressed with the Lossiemouth Development Programme (LDP) now progressing on a programme footing, and the build of the strategic facility progressing ahead of schedule. Integrating the P-8A into the UK information environment remains a challenge, the pending approval for the Information Systems and Services (ISS) will support this process.
",08/07/2014,01/04/2024,"Main Gate Business Case Schedule changed in 2017 to reconcile Joint Forces Command affordability: first aircraft delivery slipped right from April to October 2019. Capability milestones remained on track for delivery, but with increased risk especially to Initial Operating Capacity (1 April 20 at 50%).",Ł186.19,Ł177.90,-4%,"Ł2,048.90",Budget variance less than 5%,Current cost model based on business case position (initial purchase of equipment and first 4 years of support). Whole Life Cost Model under development by the Defence Equipment & Support delivery team.,Military Capability
107,Maritime Sustainment Programme,MOD,Amber,The Military Afloat Reach and Sustainability (MARS) Tankers will replace the current single hulled tankers operated by the Royal Fleet Auxiliary.,The project is now in the final stages of acquisition and focus is firmly on completion of customisation and transition into service. Customer and Project Team are working on agreements to the overall plan to Full Operating Capability. Planning and Scheduling for project evaluation and closure activities are being finalised.  ,25/07/2005,28/02/2019,"The ISD for RFA Tidespring was achieved on 14 December 2017.  Tiderace is expected to achieve ISD in late 2018.  The programme to deliver the final two ships to their ISDs, and achieve Full Operating Capability (currently planned for October 2018), is under review and will be subject to an IAC Review Note.",Ł25.53,Ł25.53,0%,Ł618.81,Budget variance less than 5%,"The profile for the Budgeted whole life costs has changed to reflect the delay in the MARS Tanker build. (A clerical error is believe to have occurred while profiling the delay in build)
This remains within the  original approval figures.",Military Capability
108,MARSHALL,MOD,Amber/Green,"To provide a Terminal Air Traffic Management capability for Defence that will ensure that core Air Traffic functions continue to be provided, obsolete equipment is replaced, and new regulatory conditions are met.","The Latest Marshall Assurance Action Plan report (Amber/Green) provided 4 recommendations, all of which have been implemented.",03/04/2006,31/12/2024,The programme is scheduled to deliver Initial Operating Capacity 2 months and Full Operational Capacity 18-24 months ahead of our Approval dates (30 Jun 19 and 31 Dec 24 respectively).,Ł125.71,Ł108.22,-14%,"Ł1,807.59","The variance detailed above has been driven by slippage in the asset reprovision programme, and has been managed through the Annual Budget Cycle process into later years.  The programme remains affordable in profile and through-life.",The programme remains affordable in profile and through-life.,Military Capability
109,Mechanised Infantry Programme,MOD,Amber,"Key to the STRIKE Concept and Mechanised Infantry capability, will be the delivery of Mechanised Infantry Vehicle.  Mechansied Infantry Vehicle will deliver mechanised platforms that can perform a range of roles across the mosaic of conflict complementing the capabilities provided by Armd Inf forces (Warrior) and Light Forces (Light Role and Air Assault infantry battalions) in combined arms manoeuvre. Although many of the platforms will be for the infantry, they will also deliver significant Combat Support (CS) and Combat Service Support (CSS) capabilities, including sub-unit, unit and formation (brigade) level communications to enable a coherent and credible STRIKE capability. Key to Mech Infs ability to achieve and create a rapid effect is its deployability, enhanced network capabilities, operational mobility, and capacity to safely move well-equipped personnel to, and support them in, the battlefield.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Military Capability
110,MODnet Evolve,MOD,Amber/Red,"The overarching objective of the programme is the delivery of a number of services including Hardware, Software and Helpdesk services to be used by all MOD personnel across locations both domestically and overseas. The procurements of such services commenced in Q4 17.   As part of this process a number of key activities need to be completed which include (but are not limited to) the following: 
- Exploiting the more favourable exit conditions agreed from ATLAS renegotiations to facilitate the transition to future service providers.
- Execution of the Joint Requirements Oversight Committee-directed study of MODs OFFICIAL vs SECRET balance and reflect this in each of the procurements.
- Information Systems and Services will consider cross-government collaboration opportunities in the programme.","An updated Programme Review Note willl be submitted to the Defence Project Assurance and Scrutiny and the Investment Approvals Committee in July 2019. 
The work detaling MODs requirement for its SECRET network and associated services is ongoing with Joint Force Command and the Office of the Chief Information Officer and will submit its findings and recommendations to the Joint Requirements Oversight Committe in July 2019.",29/02/2016,11/07/2022,"The programme remains on target to deliver Contract Award for the Productivity & Collaboration Project by Dec 19, and the End User Services Project by July 20.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Military Capability
111,New Style of Information Technology (Base),MOD,Amber/Red,To deliver a cost-effective and modern New Style of IT across the Defence estate. ,"The gateway review provided a number of recommendations that have supported the programme, resulting in the improvement of working relationships with DXC.  The recommended pausing of Projects within the Deputy Director area has enabled the flexing of resources to prioritised projects. Fortnightly supplier and Chief Executive Officer engagements continue to focus on critical path activities to drive confidence in delivery.
",01/04/2015,31/03/2020,"New Office 365 capabilities have been paused to release resources to priority projects. Defect remediation of Secret post testing has not progressed as planned and is delaying Secret United Kingdom project delivery, this is also adding further delay to the MODNet Secret Overseas delivery.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),ICT
112,New Style of Information Technology Deployed,MOD,Amber,"The provision of an IT system which will deliver operational information service to Land, Air, Maritime and Joint users in all physical environments.",Exempt under Section 26 of Freedom of Information Act 2000 (Defence),01/04/2015,25/03/2025,Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Military Capability
113,Nuclear Warhead Capability Sustainment Programme,MOD,Exempt under Section 24 of the Freedom of Information Act 2000 (National Security),"1.  Support in-service warhead and production / transition to Mk4A until the Out of Service Date, safely and securely;
2.  Delivery against the NWCSP high-level characteristics;
3.  Provide the evidence to support a future warhead decision;
4.  Increase engagement with the US to align capabilities and requirements for any future warhead decision / direction;
5.  Deliver the hydrodynamics capability with the French;
6.  Seek to ensure value for money from the programme and keep to budget.",Exempt under Section 24 of Freedom of Information Act 2000 (National Security),01/04/2008,30/04/2025,Exempt under Section 24 of Freedom of Information Act 2000 (National Security),"Ł1,065.18","Ł1,039.76",-2%,"Ł19,895.89",Budget variance less than 5%,Exempt under Section 27 of the Freedom of Information Act 2000 (International Relations),Military Capability
114,PROTECTOR,MOD,Amber/Red,"The PROTECTOR Programme will deliver a future UK capability for deep and persistent armed  surveillance, target acquisition, and reconnaissance.","Financial Review, rebaselining and contract re-negotiations are concluded. Review note is pending approval. New Mandate to be issued in due course. Programme will deliver 2 yrs late and over original predicted cost.",30/04/2009,31/03/2035,The re-baselined programme has caused a delay of Interim Operating Capability to Nov 2023 and Full Operating Capability to October 2025.,Ł64.24,Ł52.72,-18%,"Ł1,039.25",Variance attributable to increase in Joint Forces Command Infrastructure costsings and movement in the foreign exchange market rate. ,Joint Forces Command confirm that Programme is affordable. ,Military Capability
115,Queen Elizabeth Programme,MOD,Amber,To deliver 2 Queen Elizabeth Class aircraft carriers.,"Ship's company succesfully increased to 806. Aircraft Carrier Alliance continues efforts to control  build cost over-run. Queen Elizabeth/Prince of Wales maintenance periods deconflicted and maintenance load planned

",01/12/1998,31/03/2023,"Queen Elizabeth conducted succesful Lightning (F-35B) flying trials Phase 1 enabling reduction in Phase 2 trials. Prince of Wales build focused on schedule to constrain build cost over-run, prioritising acceptance criteria.",Ł258.07,Ł249.43,-3%,"Ł6,797.64",Budget variance less than 5%,"The Whole Life Cost is currently being re-assessed, the outcome will be  promulgated in the review note requesting a new approvals limit",Military Capability
116,Spearfish Upgrade Programme,MOD,Amber/Red,To update the UK's submarine heavyweight torpedo: safety improvements are required to ensure residual risks remain as low as reasonably practicable and improved performance against increasingly capable threats. ,"The Spearfish Upgrade (SFU) torpedo demonstration phase is progressing towards achievement of Initial Operating Capability (IOC) in 2020. However, delivery confidence has deteriorated from that reported in 2017 owing to technical issues during submarine firing trials. These issues have been mitigated through a re-design of the overall trial programme, including additional non-submarine firings, and engineering activity. That said, the Spearfish Programme achieved the first successful autonomous use of SFU against a submarine target in late 2018.

The dependent projects that enable transition of SFU into service once IOC is achieved have also been progressed since the last transparency return. However, significant commercial issues have emerged with delivery of the in-service interface of SFU torpedo to the Combat System and the arrangements to convert torpedoes to the new SFU variant (through an in-service support arrangement). Resolution of these issues are the prime medium-term focus of the Spearfish Programme with Industry Partners having the key role for achieving success.
",01/04/2008,31/03/2024,"Whilst SFU is currently on schedule to achieve IOC in 2020, there is significant risk to this milestone from the emergent technical issues and availability of sparse ships & submarines to support trials. Resolution of the technical issues is ongoing through additional engineering activity and asset availability for trials is being mitigated through senior prioritisation within MoD. The challenges to transition of SFU into service, via a new Combat System interface and torpedo support arrangement, are being managed through primarily commercial activity which cannot be commented on in depth. Should a future delay emerge to transition of SFU into service, the MoD is working with Industry Partners to maintain appropriate availability of the Royal Navys submarine launched torpedo",Ł38.69,Ł37.90,-2%,Ł413.89,Budget variance less than 5%,"Baseline whole life costs are taken from the review note costs for the Assessment, Demonstration and Manufacture phases.",Military Capability
117,Type 26 Global Combat Ship Programme,MOD,Amber/Green,"To deliver an interoperable, survivable, available and adaptable capability that is operable globally within the maritime battle space to contribute to sea control for the Joint Force and contribute to maritime force projection and Joint Force command and control with the flexibility to operate across and within the range and scale of Contingent and non-Contingent operations. This 8 ship programme will deliver Anti-Submarine Warfare capability to protect strategic assets, sustain national shipbuilding capability and increase resilience of the Naval Service.",Delivery confidence reduced to Amber following the IPA Project Assessment Review (05/11/2018 ). Progress continues to be made against the recommendations.,21/07/2008,01/05/2035,"On track to deliver contract dates but consumption of float in the schedule is higher than expected, with joint actions now agreed to mitigate Key risks.",Ł432.15,Ł430.85,0%,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Budget variance less than 5%,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Military Capability
118,Type 31e,MOD,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),"The T31e programme aims to deliver a pipeline of credible, affordable and exportable warships enabling Defence to increase its global footprint, maintaining 19 frigates and destroyers for the Royal Navy and releasing high-end warships from baseload tasks. The T31e is the primary means of realising the National Shipbuilding Strategys (NSbS) benefits, including transforming warship programme governance and industrial performance. T31e will operate to deter aggression at home and abroad. It will work with military and civilian agencies against a broad range of security tasks and protection and of UK economic interests.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),01/04/2016,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Military Capability
119,WATCHKEEPER,MOD,Amber,WATCHKEEPER is an unmanned aerial vehicle (UAV) platform that will provide battlefield surveillance and reconnaissance capabilities to the land tactical commander within the Joint Operations environment.,"Full Operating Capacity achieved on 30th November 2018. Remaining project deliverables ongoing, expected 19/20 and 20/21 embodiment of final functionality.",01/03/1998,03/07/2017,"Full Operating Ccapability achieved against 90% approvals date. 
Some peripheral functionality (Tactical Party equipment) deferred to 19/20 and 20/21 to align with Annual Budget Cycle 18 enhanced dissemination option (Falcon and Information Exchange Programme connectivity). ",Ł0.00,Ł0.28,100%,"Ł1,117.73",Some peripheral functionality (Tactical Party equipment) deferred to 19/20 and 20/21 to align with Annual Budget Cycle 18 enhanced dissemination option (Falcon and Information Exchange Programme connectivity). ,Only costs to Full Operating Capability (FOC) are represented; mid life obsolescence work planned for the next decade are not.,Military Capability
120,CJS Common Platform,MOJ,Amber/Red,The Common Platform Programme aims to deliver a technology platform which supports business transformation across the Criminal Justice system. ,The common platform has now been absorbed into the reform programme and will be reported on as part of reform. The IPA RAG rating has improved due to the number of improvements made to programme and portfolio management grip over the last year. The refreshed business case was approved in March 2019 and we have been instructed to continue with the preferred option which adds one year to the total length of the programme.,01/11/2012,29/03/2019,The common platform has now been absorbed into the reform programme and will be reported on as part of reform. The IPA RAG rating has improved due to the number of improvements made to programme and portfolio management grip over the last year. The refreshed business case was approved in March 2019 and we have been instructed to continue with the preferred option which adds one year to the total length of the programme.,Ł74.96,Ł58.48,-22%,Ł398.84,The common platform programme has been moved to sit under the HMCTS reform business case and the refreshed business case has been approved ensuring there is no variance in baseline and forecast,"The Refreshed Reform business case which now includes the common platform has been approved. The overall budget envelope remains the same although we have taken the opportunity to draw down on optimism bias, an appropriate amount for this stage in the programme",ICT
121,Electronic Monitoring,MOJ,Amber/Green,The Electronic Monitoring Programme is set up to implement a new electronic monitoring system and a service for the day to day monitoring of subjects wearing the devices. ,"Key actions have included the challenge and review forecast dates with the suppliers, agreeing a transition approach with Supplier 1 and completing national rollout of the Minimal Viable Product.",10/05/2011,31/08/2024,"Some delays are being incurred during System Integration Testing, which is impacting upon subsequent test phases.  The Programme teams are working intensely with suppliers to resolve outstanding issues, and progress testing through collective effort.",Ł106.80,Ł94.90,-11%,Ł580.50,The forecast has been adjusted to reflect the timing of milestone payments following contract reset and recognises profit share.,"Spending review plans are yet to be confirmed, however planned spend is in alignment with Departmental medium term financial plan for 2018/19 and 2019/20.",Government Transformation and Service Delivery
122,Future IT Sourcing Programme (FITS),MOJ,Amber/Green,The FITS programme aims to deliver at least Ł95m per annum reduction in MoJ ICT operating costs through the design and implementation of a new ICT Operating Model.,The FITS/TTP programme officially closed on 06/11/18 having delivered the most recent business case objectives,01/03/2011,30/11/2017,The programme delivered end user computing devices and IT infrastructure upgrades to large parts of the Ministry of Justice by October 2018; as per the business case. Some limited residual work remains to upgrade smaller elements of the Departments IT infrastructure and this will be delivered through small short projects.,Ł220.23,Ł238.00,8%,"Ł2,879.23",The FITS/TTP spend for 2018/19 was within the budget stated in the Programmes latest business case. ,"At programme close, the Programme whole of life costs were within Ł2,879.23m (as per the 2018-19 Q2 GMPP return).",ICT
123,HMCTS Facilities Management Reprocurement Project (FMRP),MOJ,Amber/Red,"This project will re-procure replacement contracts for the expiring facilities management contracts which provide services to the HMCTS estate. Services include: engineering, fabric maintenance, grounds maintenance, cleaning, security, catering, waste management and a number of other property-related services.","Since the second quarter, delivery confidence has improved which has been confirmed by an independent review and the Project is reviewing the findings of the Assurance of Actions Plan.
",01/03/2017,31/12/2019,The Project has deviated from the planned schedule due the Tender stage of the project taking longer than planned. The Project is operating within timescales of the 12 month extension to the current contracts which runs until 31 January 2020.,Ł0.90,Ł0.90,0%,Ł787.20,Budget variance less than 5%,No current change to whole life cost budget.,Government Transformation and Service Delivery
