,project_name,Department,"IPA Delivery Confidence Assessment
(A Delivery Confidence Assessment of the project at a fixed point in time, using a five-point scale, Red  Amber/Red  Amber  Amber/Green  Green; definitions in the MPA Annual Report)",Description / Aims,Departmental commentary on actions planned or taken on the IPA RAG rating.,"Project - Start Date
(Latest approved start date)","Project - End Date
(Latest approved end date)","Departmental narrative on schedule, including any deviation from planned schedule (if necessary)","2016/17 TOTAL Baseline Łm
(including Non-Government costs)","2016/17 TOTAL Forecast Łm
(including Non-Government costs)",2016/2017 Variance %age,"Whole Life Cost TOTAL Baseline Łm
(including Non-Government costs)","Departmental narrative on  budget/forecast variance for 2016/17
(if variance is more than 5%)",Departmental Narrative on Budgeted Whole Life Costs
106,Core Production Capability,MoD,Red,"The phased regeneration of the current nuclear core production facilities on the Rolls-Royce Site at Raynesway in Derby, the sustainment of the Core Production Capability (CPC) and the production, development and manufacture of the nuclear reactor cores to meet Pressurised Water Reactor 2 and Successor technical specifications. ","The Red Delivery Confidence Assessment is due to a Forecast Cost to Completion (FCAC) in respect of the original Scope of Work, which is predicted to exceed the original Main Gate Approval by some Ł250M. Recognising that the additional Core H Re-fuel and Resilience (CHRaR) scope of work, which (including an amended FOC of 15 May 2028) received a later separate approval, is currently forecasting below its approval, the combined FCAC is circa Ł235M above the single combined approval.
Approval will be sought mid-2017 for the increased spend, giving the programme stability and a more appropriate commercial strategy.
",01/04/2012,15/05/2028,"The original baseline project closure (end date), expected Regeneration of the production facilities at Rolls-Royce Raynesway to be complete by 19/03/2023. When the Business Case for an additional core (Core H Re-fuel and Resilience - CHRaR) was approved, it became necessary to defer some Regeneration activities for circa 5 years (date at approval  date now). This deferment is not on the critical path to deliver H cores, or the first Dreadnought core.",Ł197.36,Ł197.20,0%,"Ł1,700.07",Budget Variance less than 5%,"A re-baselining of the CPC programme has been endorsed by the IAC. This will ensure that the project has a more robust bases of cost estimates, is aligned to the latest programme and has a more appropriate approvals and commercial strategy. The conclusions of the re-baselining work are scheduled to report back to the iAC in mid-2017."
107,Crowsnest Programme,MoD,Amber,Equips 10 Merlin Mk2 helicopters with an advanced airborne surveillance system to meet the requirement for early threat warning and co-ordination of aircraft.,"Delivery confidence was reduced to AMBER due to extended contract negotiations post Main Gate approval and the potential for it to impact delivery. Following Q2 report the prime contract with Lockheed Martin was let on 30 Nov, and parallel work has ensured delivery milestones remain on track. This is leading to growing delivery confidence.",31/03/2013,30/06/2023,Key programme milestones remain unchanged.,Ł53.35,Ł53.36,0%,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Budget Variance less than 5%,The CROWSNEST programme remains within its Approved Budgetary Limit.
108,Cryptographic Enabling Services,MoD,Exempt under Section 26 of Freedom of Information Act 2000 (Defence),To support the Departments information assurance capability.,Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence),Exempt under Section 26 of Freedom of Information Act 2000 (Defence)
109,Future Beyond Line Of Sight,MoD,Amber,To maintain the current satellite communications network and develop successor capability.,"The Sep 16 IPA Assurance of Action Plan (AAP) raised 6 recommendations; all were accepted and are being actively implemented and managed.  Those that are critical were: Establish delivery of the capability on to a programme footing which is being driven by Joint Forces command through establishing an SRO Support Team to start work in Jan 17.   Manage the governance and transition from BLOS (current capability) to FBLOS (future capability) which is being managed through monthly BLOS/FBLOS governance meetings. Acquisition Partner to be appointed ASAP, which has not yet been appointed, although is being augmented through the Framework Approach for Technical Support (FATS) to provide immediate resource uplift.",01/01/2011,31/12/2041,"All key milestones are within the 50% confidence level approved by IAC in Jun 16, although the SRO has noted that slippage of Acquisition Support Partner is a concern and is pressing for swift resolution.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests), Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests), Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) , Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) 
110,Land Environment Tactical Communication  and  Information Systems,MoD,Amber/Red,"The LE TacCIS Programme will sustain, evolve and where appropriate replace tactical communication and information systems used across the Land Environment. This includes man-portable systems, those mounted on platforms and those in deployed headquarters.","The MOD accepts the recommendations made in the review of the LE TacCIS programme in April 2016 and is working to address them.  

A further external review is likely to be undertaken in late 2017 by which time the programme would expect a more favourable RAG rating based on the significant work done in the interim and the increased maturity of the programme as a whole.
",01/05/2013,01/12/2035,"Multiple dates exist to cohere the delivery of benefits across a collection of projects and a sub-programme. The LETacCIS programme will close when sufficient transformation in the target operating model has been institutionalised through evolutionary development. At the time of publishing this report the conditions for transitioning to business as usual through evolutionary development was still being defined

LE TacCIS is a transformational change programme that will information enable the Land Environment in the full conduct of operations.  

It is initially based on an opening up of the communications architecture across a number of currently stove-piped systems such that, in the future, upgrades can be conducted on a spiral basis across system boundaries whilst being more reactive to changes in requirements and at lower cost.  This will allow UK MOD to retain its technological advantage.  

The programme is therefore evolutionary by design with projects already delivering capability change.  It will continue to exploit new technology and integrate it into the open architecture; for this reason, there is no programme closure date.

The programme is on schedule to meet its milestones.

",Ł168.54,Ł169.38,0%,"Ł11,148.48",Budget Variance less than 5%,"The MOD has identified LE TacCIS as one of the most important change programmes in the Land Environment and is investing accordingly. The Department will become significantly less reliant on large prime contractors and the 'lock-in' that can result. This new approach therefore represents the best value means of Defence retaining an operational advantage by leveraging new technologies, with value for money and adopting a more agile approach to spiral development through life.

The funding will be used incrementally to introduce modern technologies as existing radios, computer systems, user devices and applications reach obsolescence. Critical will be the ownership by MOD of the Intellectual Property Rights and the system design.
"
111,Lightning II Programme,MoD,Amber,"To deliver a multi-role, carrier-capable aircraft, to be operated jointly by the Royal Air Force and Royal Navy.  ","The Lightning Programme delivery confidence remains as AMBER. Several emergent issues have added more pressure to timely delivery of the Programme, but mitigation plans are being developed to treat these increasing risks and issues. These include delays in simulator software, and issues relating to Mission Data Reprogramming . Following dialogue with the US Programme leadership on these matters, the UKs programme has the requisite support to resolve these issues to meet the IOC date on time. Finally, a lack of manpower remains a concern to delivery of the programme - particularly in the DE&S area; however, the overall manpower situation has improved as the Royal Navy have now agreed to provide personnel to the Australia, Canada, UK, Reprogramming Lab (ACURL).",01/10/2001,31/03/2035,The schedule for the UK F-35 delivery remains taut but on track.,Ł808.53,Ł888.46,10%,"Ł13,383.07",The reason for the FY16/17 forecast to budget variance is due to the Exchange Rate with the US Dollar.,"a. Production (main production phase of approved a/c buy due to be completed  in 2026). 
  i. Includes Aircraft and Equipment procurement.     ii. Through life capability development and obsolescence management.   iii. Op Sovereignty Capabilities.   iv. UK contribution to Production, Sustainment & Follow-on Development 
b. System Design & Demonstration.
 i. Common JSF Design and Demonstration against UK URD.
 ii. UK Unique Development & Integration (including Ship, Weapons and   Main Operating Base)
 iii. Initial Operational Test & Evaluation
 iv. Safety.
c. Sustainment 
d. Public Sector technical Support.
e. Packages of work at RAF Marham to enable  site re-organisation to accommodate Lightning.
f. DIO Infrastructure.
"
112,Logistics Commodities Services Transformation,MoD,Amber,"The Logistics, Commodities and Services (LCS) Operating Centre in MOD provides commodity procurement, storage and distribution services for the Armed Forces. The LCS(T) programme is designed to undertake a major reform of the LCS, developing a service of the right size for current military requirements and reducing cost through upgrades to both the inadequate current facilities, and the modernisation of the processes in operation.","Notable successes include high Delivery Partner (DP) performance, improved commodity provision, increased operational outload capacity and a successful build of the new Defence Fulfilment Centre.

The DP and MOD agreed the Forecast of Expenditure (FE) by the start of Contract Year (CY) 3 on 01 April 2017

Benefits against the MGBC have been eroded through: Firstly reduced demand against the Global Removal & Movement Service (GRMS) contract. Secondly, a slippage in the integration of information systems due to technical challenges. This is under negotiation and DP and will be concluded as part of the FE process.  

Work continues to develop the strategy to exploit the considerable potential for LCST to deliver further benefit. This is focused on widening the scope of commodity acquisition and inventory management that sits within the LCS(T) contract.
",01/08/2011,01/02/2018,"As a result of the IS delay, the DP will now reach Full Operating Capability on 31 Mar 19 which is in line with the MGBC 90% confidence date of 5 Apr 19, instead of the 50% confidence date of 01 Jul 18.  ",Ł92.62,Ł115.27,24%,Ł652.44,As at 30/09/16 the FY 16/17 forecast included Ł27m expenditure on the Defence Fulfilment Centre (DFC) that moved from FY 15/16 to FY 16/17. The DFC cost was firm priced so re-profiling from FY 15/16 to FY 16/17 does not impact the overall cost of the project. ,"As at 30/09/16 the total whole life implementation costs are forecast to be Ł647m, reflecting a small reduction from the Allocated Budget of Ł652m. 
Forecast net benefits over the 13 Year appraisal period of Ł402m reflect an improvement on the Target net benefits of Ł336m. However this will be impacted by the IS slippage explained above"
113,Maritime Patrol Aircraft ,MoD,Amber,"To deliver a Maritime Patrol Aircraft (MPA) to provide persistent, responsive, effective and adaptive Military Capabilities in the Under Water, Above Water, Littoral and Land environments.  ","Since the last reporting period, there has been a maturing of the infrastructure plan, with an information note describing the approach to approvals  (submitted 9 Dec 16) and leading to a review note to be submitted during Q2 17/18.  

An ABC17 option has been submitted to align manpower profile to the aircraft delivery schedule, which de-risks the build-up to initial operating capability.

The overall programme assessment remains at amber due to the number of challenges, dependencies and uncertainties that lie within the programme.
",08/07/2014,01/04/2024,"There has been no change to any of the programme milestones or the overall programme schedule.

Programme milestones have not been included.  The details of the build-up of the MPA force have not been publicly revealed for security reasons.  
",Ł7.37,Ł5.57,-24%,"Ł2,132.49",Realism applied to forecast,Whole Life Costs reflect the MGBC  remaining within the total.
114,Maritime Sustainment Programme,MoD,Amber/Red,The Military Afloat Reach and Sustainability (MARS) Tankers will replace the current single hulled tankers operated by the Royal Fleet Auxiliary.,Complexities in the build of the first ship Tidespring have resulted in delays. This is reflected in the Q2 RAG rating. Technical difficulties have now been resolved and the ship has now been completed and is on its delivery voyage.  Lessons learned from Tidespring are expected to ensure any further delays to ships 2 to 4 are minimised.,25/07/2005,30/04/2018,Delays in the build have impacted on milestones and a Review Note was issued 23/09/16 revising Tidespring ISD and Full Operating Capability (FOC). With the major delay centred on the first ship the delivery drumbeat of ships 2 to 4 is likely to tighten adding pressures to RFA manpower constraints.,Ł126.84,Ł126.84,0%,Ł596.38,Budget Variance less than 5%,'no variance at Q2
115,MARSHALL,MoD,Amber/Red,"To provide a Terminal Air Traffic Management capability for Defence that will ensure that core Air Traffic functions continue to be provided, obsolete equipment is replaced, and new regulatory conditions are met.","Air Traffic Management (ATM) service availability remains strong.  Equipment re-capitalisation programme has serious generic problems, compounded by complicated and parallel activities.  Information Note and Review Note submitted, spelling out issues identified and remedial actions.  9 months of remedial activity, planning, and approvals related assurance required to generate a re-baselined schedule.  Contractor and DE&S have added considerable additional resource to address project and risk management shortfalls.  SRO has led investigations and workshop activities to identify root cause issues and create conditions for these to be addressed.  Issue is Time, not Cost or Performance; safety is not affected.  Civil Aviation Authority extension to the delivery of Mode S cooperative surveillance agreed. Contractor has agreed to support the drawdown, as planned, of military maintainer staff.",03/04/2006,04/10/2020,Programme delivery continues to lag behind schedule; approximately 60% of in-year planned progress achieved.  Previous re-baselined Schedule has failed to arrest continued slippage.  Further re-baselined schedule covering Initial Operating Capability and Full Operating Capability delivery will be presented for Approval in Sep 17.  ATM Services delivery remains strong.  There has been no affect on ATM capability.,Ł124.78,Ł124.39,0%,"Ł1,769.14",Budget Variance less than 5%,"Changes at the end of the Annual Budgetary Cycle round in spring 2016 (ABC16) re-set budgets. Further re-profiling likely following re-baselining.  Whole Life Costs unlikely to change after the programme baseline is reset, Sep 17."
116,New Employment Model,MoD,Amber/Green,To design and deliver a New Employment Model for Regular and Reserve Service Personnel.,"The programme has worked closely with both the Infrastructure Projects Authority and Defence Portfolio and Approvals Secretariat in 2016/17 which culminated in the exit of NEM from both the Government and Defence Major Project Portfolios in Dec 2016. This recognised the progress NEM has made and reflects the robust plans in place to close the programme by end of Dec 2017. 

NEM was not a savings exercise, rather its objective was to modernise the offer (supporting lifestyle choice and domestic stability) while also fixing elements of policy that were proving a known barrier to retention. It has delivered a suite of projects (initiated in SDSR10) that has delivered positive changes to the terms and conditions of service for Armed Forces personnel.
Now in the final stages of delivery, having implemented the majority of its components, the programme is expected to close by the end of 2017, with transition continuing to the nominal end-of-life of the programme in 2020 and beyond. 
",02/05/2011,01/10/2021,"The original programme baseline date for closure of the programme was 1 Oct 2021, reflecting the inclusion of transition protection and benefit realisation monitoring activity within plans; however with the establishment of a central Programme Management Office supporting the People Portfolio, the programme is able to release its remaining resource and handover benefits realisation monitoring to business as usual mechanisms earlier than originally anticipated.  However, many of the benefits of NEM will not be fully realised for a number of years and this is reflected in the business case which details a 10 year benefit profile to 2020/21. ",Ł95.15,Ł92.37,-3%,Ł211.07,Budget Variance less than 5%,"The Whole Life Costs of Ł211.07m reflects an amalgam of staff costs, IT change budget, costs incurred by DIO to conduct accommodation surveys, external support/assistance and costs to provide pay protection for those moving to the new pay model.  In 2016/17 the programme will underspend by a total of Ł2.78m against the original in year baseline, and by an estimated Ł13.09m (6.2%) over the full 10 year profile.  This is due mainly to scope change and the lack of IT reference data which led to an over estimation of costs.   "
117,New Style of Information Technology (Base),MoD,Amber,To deliver a cost-effective and modern New Style of IT across the Defence estate. ,Beta testing of the new Office 365 service continues and over three thousand users have been migrated.  Amber assessment recognised the continuing effort to stabilise Beta and maintain sustainability of the live rollout plan at the intended pace and volumes.,01/04/2015,05/03/2018,"Beta testing and migration continue, with over three thousand users using the new service (Office 365 using sovereign data centres). Beta has been extended and will include additional users to ensure maximum benefit is realised from the Beta phase.  Commercial negotiations with the supplier continue to ensure best value for money.  Live service was achieved on 21 April 2017 with these activities delaying the milestone from end of 2016",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests), Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests) ,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),"IY variance  is due to an underspend in FY 15/16, due to the re-profiling of some activities into the current FY, and resultant costs rolling across",WLC within budget
118,New Style of Information Technology Deployed,MoD,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),"The provision of an IT system which will deliver operational information service to Land, Air, Maritime and Joint users in all physical environments.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests)
119,Nuclear Warhead Capability Sustainment Programme,MoD,"Exempt under Section 24 of Freedom of Information Act 2000 (National Security)

Exempt under Section 26 of Freedom of Information Act 2000 (Defence)","1. To deliver and sustain the capability to underwrite the UK stockpile now and in the future including transition to Mk4A and to have the capability required for a future warhead if required. 2. To develop and deliver essential science, technology and production capabilities and critical skills to enable AWE to operate, maintain and certify the safety and performance of the Trident Holbrook warhead.3. To develop and deliver the UK stockpile to the Mk4A warhead (production, skills, science) approved design.4. To deliver facilities, skills, production and science capabilities required to maintain the current warheads and support a possible future warhead. 5. To deliver the new hydrodynamics facility  TEUTATES/EPURE","Exempt under Section 24 of Freedom of Information Act 2000 (National Security)

Exempt under Section 26 of Freedom of Information Act 2000 (Defence)",01/04/2008,30/04/2025,"Exempt under Section 24 of Freedom of Information Act 2000 (National Security)

Exempt under Section 26 of Freedom of Information Act 2000 (Defence)",Ł993.19,"Ł1,026.97",3%,"Ł20,310.57","Exempt under Section 27 of the Freedom of Information Act 2000 (International Relations)

Exempt under Section 41 of Freedom of Information Act 2000 (Information Provided in Confidence)","Exempt under Section 27 of the Freedom of Information Act 2000 (International Relations)

Exempt under Section 41 of Freedom of Information Act 2000 (Information Provided in Confidence)"
120,PROTECTOR,MoD,Amber,"The PROTECTOR Programme will deliver a future UK capability for deep and persistent armed  surveillance, target acquisition, and reconnaissance.","At Q2 16/17 insufficient manpower across the programme, in a variety of appointments  drove confidence in achieving the IOC milestone to remain AMBER.  Planned action throughout Q3 16/17 has marginally improved manpower, but not yet to a level that affects the delivery confidence.  Planned activity to address the overall force structure within the PROTECTOR programme includes the commissioning of an independent manpower study, led by the Defence Scientific Technology laboratories (DSTL) and increased fill of established programme posts.  The challenges to procurement to include US export regulations add complexity to the programme and support the assessment of a delivery confidence of AMBER.  Planned activity to address this has involved consistent  engagement through the creation of a governance regime with the US System Program Office (SPO) and this is expected to mature throughout 2017.",30/04/2009,31/05/2023,"Main Gate was achieved  Jun 16, 2 months behind the baseline date of Apr 16, despite this there are no assessed changes at Q2 16/17 for either IOC or FOC of the PROTECTOR programme, however IOC RAG assessment remains AMBER due to the delivery confidence issues relating to US export regulations and shortfalls in manpower .  FOC1 (May 23) relates to the PROT core programme, a further milestone (FOC2) will be defined for the PROT Enhanced additions.  ",Ł13.78,Ł15.28,11%,Ł929.34,"The variance in Q2 16/17 against the current year is -1.500M and is predominately related to FOREX movement. In addition, FOREX remains a factor on variance throughout the period.  Despite a significant IY variance, the overall variance across the 10 year total remains less than 1% due to equipment savings.","Due to the maturity of the programme the budgeted WLC, specifically the Contracted Logistics Support (CLS), remain based on pre-MGBC studies and assumptions.  Development of the CLS Solution to be delivered through a predominately DCS contract and a small FMS contract for sensitive equipment, has not yet reached sufficient maturity to allow formal costing activity to take place.  "
121,Queen Elizabeth Programme,MoD,Amber,To deliver 2 Queen Elizabeth Class aircraft carriers.,"The IPA described seeing much progress since the last review, its Amber assessment was based on issues around: HMS Queen Elizabeths First Entry to Portsmouth (FEP); cost clarity; manning requirements; the Common Support Model (CSM) business case and support in the Solent when unable to enter port. These actions are being progressed through the stakeholders and included in Holding to Account discussions. FEP will now be a comparatively low key event with a later ceremonial event.  A comprehensive assessment of Programme costs has been produced.  Manning is being successfully managed based on continued prioritisation.  Plans for support in the Solent will be implemented as we gain experience of operating HMS Queen Elizabeth from her home port. ",01/12/1998,31/03/2023,"Challenges exist within HMS Queen Elizabeths near-term schedule, with technical issues on several systems presenting risk to the Ships Staff Move-on Board and Ready for Sea Date programme milestones.  The Ships Company and Aircraft Carrier Alliance are working closely to manage these serials.  HMS Prince of Wales schedule has further to run and lessons from HMS Queen Elizabeth are being incorporated.",Ł601.84,Ł593.27,-1%,"Ł7,400.08",Budget Variance less than 5%,The Q2 estimated increase in cost of building the Carriers remains stable.  Additional funding for the 10-year support budget change to operating one ship at Very High Readiness and one at High Readiness is being accounted for within Navy Commands control total.
122,Spearfish Upgrade Programme,MoD,Amber/Green,To update the UK's submarine heavyweight torpedo: safety improvements are required to ensure residual risks remain as low as reasonably practicable and improved performance is required against increasingly capable threats. ,"Delivery Confidence Assessment is primarily affected by:
 dependency on the Combat System Weapon Thread programme (to modify the submarine combat system interface) to enable delivery of the full warfighting capability of the upgraded weapon; 
 progression of design maturity of the weapon upgrade, in particular the guidance link; and 
 availability of submarine platforms to conduct torpedo trials.  
To ensure necessary governance of the important dependency on the Weapon Thread programme, it has been added as an Equipment Line of Development to the SFU Programme Board.
",01/04/2008,31/03/2024,"Project end date (delivery of all Mod kits) remains 31 March 2024.  However, as mentioned in assessment of delivery confidence, the full realisation of the warfighting capability is dependent on the delivery of the Weapon Thread element (the platform connection from the weapon to the combat system). Although a representative from this parallel project now attends the SFU programme board, this work-stream is managed as a critical dependency and remains outwith the scope of the SFU project itself, which has limited influence over delivery timescale of that element.",Ł39.95,Ł40.02,0%,Ł416.08,Budget Variance less than 5%,"Project forecast to deliver within budget and within IAC Approval. The cost envelope covers the upgrading of essential elements of the existing weapons, timed to coincide with their routine maintenance.
"
123,Successor SSBN,MoD,Amber/Red,"The design, development and manufacture of 4 Successor SSBN Class submarines.","The MoD is working with industry to improve collective performance on the Dreadnought programme. Proposals are being explored for a new commercial and organisational model, between the MoD and the two key industrial leads BAE Systems and Rolls-Royce. In addition, to strengthen arrangements for the procurement and in-service support of nuclear submarines the new Submarine Delivery Agency was announced on 3 April 2017. This new body will be established as an Executive Agency of the Department, alongside the Defence Equipment & Support  organisation, by no later than April 2018. To support and lead transformation to full Agency status, Robert Holden CBE has been appointed as Chair of the Board and recruitment for the Chief Executive has commenced. The programme has also now been renamed Dreadnought.
",14/04/2011,"Exempt under Section 35 of Freedom of Information Act 2000 (Formulation of government policy, etc.)",Dreadnought Boat 1 commenced production on time in Sep 16 following approval for an 18 month Delivery Phase 1. This reflects the phased approvals strategy announced in SDSR 15.,Ł844.76,Ł859.84,2%,"Ł31,614.29",Budget Variance less than 5%,The programme estimate contained within SDSR 15 provided for a 35-year period and includes a Ł10bn contingency.  The incremental approval approach has continued with Delivery Phase 1.
124,The Materiel Strategy,MoD,Amber,"To design, orchestrate and implement transformational change within Defence Equipment and Support, in order that it can operate more effectively and efficiently within a simplified and improved Acquisition System.","A comprehensive Transformation Implementation Plan for FY 16/17 was approved by the DE&S Executive in September 2015. This plan is structured around three major Transformation themes: the implementation of a People Model; the introduction of a Balanced Matrix for staff deployment; and use of a common Process and Control Framework throughout the organisation. An Integrated plan for FY17/18 has been developed to further embed the changes across DE&S. The Delivery Confidence Assessment reflects the good progress to date but recognises the challenges associated with embedding the changes while maintaining business outputs coupled with ensuring the financial benefits are realised. This is being mitigated in the FY 17/18 plan through the accelerated adoption of the new Processes, increased communication and engagement, and focussed benefit realisation activities. 
",02/05/2011,01/05/2018,"The programme met its FY16/17 milestones and is on plan to meet its 17/18 milestones. The programme end date is aligned to the end of the Managed Service Provider Contracts.
",Ł91.21,Ł91.21,0%,Ł379.07,Budget Variance less than 5%,The approved transformation Whole Life Costs include provision for Managed Service Provider support and additional DE&S staff costs. All approved costs have been assured by CAAS. The programme is on track to outturn within the approved budget.
125,Type 26 Global Combat Ship Programme,MoD,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),"To deliver an interoperable, survivable, available and adaptable capability that is operable globally within the maritime battle space to contribute to sea control for the Joint Force and contribute to maritime force projection and Joint Force command and control with the flexibility to operate across and within the range and scale of Contingent and non-Contingent operations. This 8 ship programme will deliver Anti-Submarine Warfare capability to protect strategic assets, sustain national shipbuilding capability and increase resilience of the Naval Service.",Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),21/07/2008,31/12/2034,Exempted under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Ł293.23,Ł292.99,0%,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests),Budget Variance less than 5%,Exempt under Section 43 of the Freedom of Information Act 2000 (Commercial Interests)
126,WATCHKEEPER,MoD,Amber,WATCHKEEPER is an unmanned aerial vehicle (UAV) platform that will provide battlefield surveillance and reconnaissance capabilities to the land tactical commander within the Joint Operations environment.,"he Programme received an IPA AMBER rating on the 30th September and since then, recommendations associated with this rating have been addressed fully by the programme by November 2016. The overall DCA remained AMBER due to concerns over training and the achievement of a Release to Service.",01/03/1998,03/07/2017,Due to the realisation of a training risk the SRO has taken the opportunity to delay the projected FOC 1 date and synchronise a number of Programme outcomes,Ł43.16,Ł40.77,-6%,"Ł1,116.75","Figures drawn from Q2 when a budget variance was predicted, this has now been closed to within 5% as year closure approaches.     ",Only costs to Full Operating Capability(FOC) are represented;  mid life obsolescence work planned for the next decade are not.
127,Wildcat Programme,MoD,Amber,"The Wildcat aircraft has been developed to meet the twin requirements for a dedicated small helicopter for deployment in the Maritime (Surface Combatant Maritime Rotorcraft), and the Littoral and Land environments (Battlefield Reconnaissance Helicopter).  ",The Wildcat programme has continued to progress positively with the continued growth of both Army and Navy capabilities. Tangible progress is being made to resolve the remaining programme challenges including the synthetic Aircrew Training Equipment,01/12/2001,31/05/2016,Initial Operating Capability has been declared for both Army and Navy Wildcat variants within planned timescales and good progress continues towards delivery of the Full Operating Capabilities. The Wildcat Programme is on track to deliver the agreed dates.,Ł13.16,Ł12.67,-4%,"Ł1,609.23",Budget Variance less than 5%,"The Wildcat Programme incorporates the procurement of the aircraft, some initial provisioning spares and training equipment (simulators and courseware).   Support and other training-related costs are funded separately through the Wildcat Integrated Support and Training (WIST) contract."
128,North Wales Prison (NWP ) Programme,MoJ,Amber,The Berwyn Programme aims to build a new prison in Wrexham (North Wales) that will be operational in 2017.Compliance with Steel Guidance: the programme is compliant with PPN Action Note 16/15 and associated guidance.,"The Amber delivery confidence assessment reflected the good progress being made in many areas of the programme, including the handover of the support building   allowing training for the prison officers to begin.  However there remained challenges to ensure the prison was ready to open smoothly in February 2017, including actively managing the handover dates with the constructor, ensuring they do not move, and sequencing delivery of IT.

Since then, the remaining buildings within section have been successfully delivered. The prison opened to time on 27 February and the team are now focussed on opening up the rest of the accomodation.",10/01/2013,31/05/2018,"The project remains on schedule. The first of 2,106 places opened on 27 February.",Ł104.40,Ł122.00,17%,"Ł2,252.70",The figures reported as part of the baseline are for MoJ estates construction costs only and do not include NOMS enabling capital and resource costs that were due to be incurred in 2016/17. The total baseline including these costs was Ł121m. Therefore the actual variance is within the 5% tolerance.,The whole life costs include both the costs to implement the project and also the ongoing running costs of the new prison over its 60 year lifetime.
129,Common Platform (CP),MoJ,Amber,The Common Platform Programme aims to deliver a technology platform which supports business transformation across the Crown Prosecution Service and HMCTS,"A recent IPA Assurance Review reported the programme has made positive progress since the challenging re-sets that took place in 2015; meaning the delivery confidence rating moved to amber. This reflects the strong response to a number of recommendations made; the continual growth in agile maturity; ensuring the right capability and capacity to deliver; and, the efforts to improve pace of delivery since the previous report. The Programme continues to receive support from all three current SROs.

Despite a moderate increase in pace of delivery, further increases would be required for the Programme to deliver the full extent of its agreed scope within its lifetime and budget. The Programme continues to develop its benefits realisation strategy to ensure deliverables are aligned to business value and is closely managed by the Programme Board.
",01/11/2012,29/03/2019,"The Programme continues to progress and a number of services have been delivered. The Rota Service, which allows Magistrates to manage their own availability for court sittings online, has been successfully rolled out, with over 95% of Magistrates actively using the system. The Online Plea Service, which allows defendants to enter pleas online (for summary non-imprisonable motoring offences), has been implemented across the majority of sites. Digital Mark Up, which allows results to be captured digitally in court, continues to be iterated and tested in a live court environment ahead of national rollout. 
",Ł92.74,Ł73.11,-21%,Ł380.89,"The in year variance relates to reduced Hosting and Support requirement, release of contingency funding and a reduced Interfaces specification to the legacy systems. ","The whole life costs include both the cost to deliver the project and also the ongoing operating costs of the new service.

The whole life cost is Ł15m lower than the baseline due to a reduction in VED's requirement. This will be incorporated as part of the refresh.

The whole life costs for the project will be revised in line with the refreshed business case for FY1718.
"
